ref;design;stock;unit_price;suppliers
41110;Lantana Hummus – Roasted Garlic, Black Bean, Edamame;29.000;7;Robot Dist
41113;Opadipity Lighthouse Greek Yogurt Dip;24.000;22;Riyjin Ind
41115;Triscuit Wheatberry Crackers;296.000;6;Riyjin Ind
41117;Triscuits Mini Smoked Gouda;313.000;21;Riyjin Ind
41118;Wasa 7 Grain Crisp N Light;263.000;9;Riyjin Ind
41123;Nabisco Good Thins Varieties;0.000;3;Robot Dist
41124;Crunch Master Cracker;97.000;3;ACME Corp
41126;Blue Diamond Almond Crackers;0.000;3;ACME Corp
41128;Kashi Pita Crisps;70.000;1;Robot Dist
41129;Rouses Fat Free and Low Fat Milk;46.000;14;Riyjin Ind
41131;Fairlife Fat Free Milk;20.000;4;ACME Corp
41132;Califia Creamer Hazelnut;11.000;6;ACME Corp
41134;Living Harvest Hemp Milk Unsweetened;0.000;18;Robot Dist
41135;Silk Creamer Original;6.000;9;Riyjin Ind
41136;Almond Breeze Unsweetened Vanilla;4.000;9;ACME Corp
41137;Califia Almond Milk Unsweetened;6.000;9;ACME Corp
41138;Silk Cashew Milk Unsweetened;5.000;21;Riyjin Ind
41139;Ripple Milk Unsweetened;6.000;20;Riyjin Ind
41140;Special K Flatbread Sausage Egg Cheese;15.000;1;Riyjin Ind
41141;Morning Star Farm Breakfast Patties;8.000;12;Robot Dist
41142;Van Multigrain Waffles;10.000;9;Riyjin Ind
41143;Lean Cuisine Spaghetti with Meatballs;41.000;24;Robot Dist
41144;Lean Cuisine Grilled Chicken Caesar;34.000;10;Robot Dist
41145;Morning Star Spicy Bean Burger;20.000;10;Robot Dist
41146;Qrunch Burger Quinoa;41.000;22;Riyjin Ind
41147;Pacific Foods Low Sodium Chicken Soup;0.000;1;Riyjin Ind
41148;Clearly Organic Almond Butter;0.000;19;ACME Corp
41149;Sea Snax Seaweed  ;4.000;5;Riyjin Ind
41150;Eating Well Gnocci with Vegetables;7.000;15;ACME Corp
41151;Lean Cuisine Spinach and Mushrooms;0.000;18;Robot Dist
41152;Outer Isle Pizza Crust;48.000;17;Riyjin Ind
41155;Rouses Spinach & Goat Cheese Thin Crust;14.000;5;Riyjin Ind
41156;Table 87 Pizza Mushroom White Truffle;3.000;6;Riyjin Ind
41158;Halo Top Ice Cream;38.000;10;Robot Dist
41159;Outshine Strawberry Yogurt Bar;24.000;1;Riyjin Ind
41161;Weight Watchers Triple Chocolate Bar;25.000;8;Riyjin Ind
41163;Chilly Cow Frozen Bars;15.000;18;ACME Corp
41166;Breyers Delight Raspberry;16.000;1;ACME Corp
41167;Edy’s No Sugar Added Triple Chocolate;0.000;3;ACME Corp
41168;Bluebell No Sugar Added Low Fat Ice Cream;45.000;19;ACME Corp
41169;Rouses Italian Sparkling Water;0.000;5;Riyjin Ind
41171;Rouses Coconut Water Berry Flavor;151.000;13;Riyjin Ind
41172;La Croix Water Varieties;0.000;5;Robot Dist
41173;Just Water Infused Spring Water;0.000;2;Robot Dist
41174;Perrier Mineral Water;0.000;4;Riyjin Ind
41175;Nestle Splash;110.000;4;Riyjin Ind
41177;Hint Infused Water;0.000;3;Robot Dist
41178;Julian Baker Bread Paleo;5.000;17;Robot Dist
41179;Living Intentions Cereal Superfood Hemp & Greens;9.000;18;Robot Dist
41180;Bumblebee Tuna Salad Ready to Eat;7.000;10;ACME Corp
41181;Wild Garden Snack Hummus with Crackers;0.000;15;Riyjin Ind
41185;Starkist Pouch Low Sodium Chunk Light;0.000;3;Riyjin Ind
41186;Chicken of the Sea White Premium Tuna Pouch;0.000;7;ACME Corp
41188;Rudi’s 7 Grain Bread;0.000;4;Riyjin Ind
41189;Julian Baker Granola Protein;1.000;18;Robot Dist
41190;Nature’s Own Light Wheat Bread;3.000;7;Robot Dist
41195;Chicken of the Sea Salmon Pouch;5.000;24;ACME Corp
41198;Cucinarte Jalapeno Quinoa;5.000;20;ACME Corp
41200;Hunt’s No Salt Added Diced Tomato;1.000;13;Robot Dist
41201;Rotel Original No Salt Added;12.000;12;Riyjin Ind
41202;Cool Brew Decaf;155.000;14;ACME Corp
41203;Coffee Mate SF French Vanilla;0.000;1;ACME Corp
41204;Ripple Half & Half Vanilla;0.000;3;Riyjin Ind
41205;Rouses Organic Eggs;0.000;1;Riyjin Ind
41206;Egglands’ Best Eggs;6.000;21;ACME Corp
41207;Handsome Farms Pasture Raised Eggs;173.000;10;Robot Dist
41208;Egglands’ Best Hard Cooked Eggs;66.000;1;ACME Corp
41210;Just Egg Plant Based;10.000;5;Robot Dist
41213;Brummel & Brown Yogurt Butter;27.000;18;ACME Corp
41214;Smart Balance Low Sodium;0.000;2;Riyjin Ind
41215;Fleis Move Over Butter;7.000;15;Robot Dist
41216;Land O Lakes Light Butter with Canola Oil;2.000;2;Robot Dist
41217;Triscuit Wheatberry Crackers;2.000;18;Riyjin Ind
41218;Triscuits Mini Smoked Gouda;11.000;24;Riyjin Ind
41219;Wasa 7 Grain Crisp N Light;7.000;7;Riyjin Ind
41220;Nabisco Good Thins Varieties;6.000;13;Robot Dist
41221;Crunch Master Cracker;6.000;22;ACME Corp
41222;Blue Diamond Almond Crackers;11.000;7;ACME Corp
41223;Bobs Quinoa Flour & Almond Flour;6.000;20;ACME Corp
41224;Kashi Pita Crisps;5.000;12;Robot Dist
41225;Simple Mills Cake Mix & Icing;0.000;18;Riyjin Ind
41227;Naked Green Machine Fruit Nut Veggie Bar;0.000;2;Robot Dist
41228;Kind Pressed Fruit Bars;3.000;15;Robot Dist
41229;That’s It Fruit Bar;6.000;19;Riyjin Ind
41392;International Collection Flaxseed Oil;6.000;24;Robot Dist
41400;Protein One Chocolate Chip Bar;12.000;13;Riyjin Ind
41401;Kashi Peanut Butter Bar;4.000;7;Robot Dist
41402;Quaker Protein Sandwich Peanut Butter;5.000;5;Riyjin Ind
41403;Protein2O water;6.000;19;Riyjin Ind
41404;Iconic Protein Drink;7.000;6;Robot Dist
41405;Ensure Light Chocolate;12.000;5;ACME Corp
41406;Best Choice Whole Wheat Flour;3.000;7;ACME Corp
41407;Lily’s Chocolate Chips;2.000;15;Robot Dist
41408;Rouses Brown Rice;2.000;13;Riyjin Ind
41409;Glucerna Hunger Smart Shake;11.000;8;Robot Dist
41410;Palmini Heart of Palm Pasta;2.000;8;Riyjin Ind
41411;Explore Cuisine Organic Edamame Noodles;9.000;24;ACME Corp
41412;Jazzman Aromatic Brown Rice;0.000;22;Robot Dist
41413;Zatarans Reduced Sodium Jambalaya Mix;5.000;13;Riyjin Ind
41414;Texmati Royal Blend;0.000;21;Riyjin Ind
41415;Muscle Milk Banana Cream;7.000;5;Robot Dist
41416;Greek God Yogurt Plain;8.000;19;Robot Dist
41417;Dannon Light and Fit Greek;13.000;3;ACME Corp
41418;Total Greek Yogurt 0%;89.000;1;Riyjin Ind
41419;YQ Yogurt Vanilla;34.000;5;Riyjin Ind
41420;Clearly Organic Quinoa;20.000;23;ACME Corp
41422;Rouses Parmesan Cheese Deli Cup;0.000;3;Riyjin Ind
41423;Go Veggie Cheesy Bliss;0.000;24;Robot Dist
41424;Lisanatti Foods Almond Mozzarella Style;1.000;22;Robot Dist
41425;Primal Kitchen Balsalmic Vinaigrette;11.000;10;Riyjin Ind
41426;Hanley’s Sensational;10.000;17;Robot Dist
41427;Kraft Olive Oil Ranch;41.000;9;Robot Dist
41428;Kraft Mayo with Olive Oil;0.000;24;Robot Dist
41430;Pam Cooking Spray Extra Virgin Olive oil;4.000;4;Riyjin Ind
41431;Best Choice Olive Oil Pan Coat;4.000;21;ACME Corp
41432;Rouses Canola Oil;0.000;6;Riyjin Ind
41433;Rouses Extra Virgin Olive Oil;160.000;5;Riyjin Ind
41434;Rouses Extra Virgin Organic Sicilian Olive Oil;53.000;11;Riyjin Ind
41461;Mrs. Dash Seasoning Packet;106.000;8;Robot Dist
41661;Blue Runner No Salt Added Navy Beans Cream Style;0.000;18;ACME Corp
41901;Magic Seasoning, Salt Free, Sugar Free;8.000;9;Robot Dist
41970;Cauli-flour Baking Mix;24.000;18;ACME Corp
41971;Paul Prudhomme  Six Spice Salt Free Sugar Free;0.000;6;Riyjin Ind
41972;Skinny Noodles;0.000;21;Riyjin Ind
41973;Banza Chickpea Pasta;0.000;3;ACME Corp
41974;Tony’s Cachere’s No Salt Seasoning;0.000;3;Riyjin Ind
4133C;Blue Runner No Salt Added Red Beans;0.000;6;ACME Corp
4158A;Natures Path Organic Oatmeal;0.000;9;Riyjin Ind
4158B;Hi Happy Inside Granola;6.000;15;Robot Dist
4169C;Dry Beans – any variety with no added salt;0.000;9;ACME Corp
4172C;Calbee Snap Pea Crisps Organic;0.000;10;ACME Corp
4175A;Pepperidge Farm 15 Grain Bread;4.000;4;Riyjin Ind
4175B;Swerve Chocolate Cake Mix;5.000;14;Riyjin Ind
4181A;Justin’s Nut Butter Almond;2.000;1;Robot Dist
4181B;Crazy Richard Peanut Butter;12.000;16;ACME Corp
4181C;Thomas Wheat Bagel Thins;3.000;22;Riyjin Ind
4181D;Thomas Multigrain English Muffins;0.000;4;Riyjin Ind
4181E;Food For Life Ezekiel 4:9 Cereal Golden Flax;0.000;19;Robot Dist
4194A;Bear Naked Fit Granola Vanilla Almond;4.000;21;ACME Corp
4194B;Kashi Honey Granola;4.000;20;Robot Dist
4194D;Maple Grove Farms Pancake & Waffle Mix, Sugar Free;4.000;4;Robot Dist
4194E;Birch Benders Pancake & Waffle Mix Paleo;2.000;10;ACME Corp
4199A;Campbell’s Healthy Request Vegetable Beef Soup;0.000;2;ACME Corp
4199B;Shredded Wheat Cereal, Original;0.000;14;Riyjin Ind
